ID_compra,data,horario,categoria,preco_unitario,quantidade,frete,metodo_pagamento
6,2023-01-03,20:40:00,Tecnologia,899.19,4,713.26,Boleto
5,2023-01-03,21:48:00,Casa/Móveis,115.9,1,0,PIX
9,2023-01-03,17:08:00,Beleza/Saúde,68.9,2,13.78,Crédito
4,2023-01-03,14:29:00,Casa/Móveis,80.9,5,40.45,PIX
8,2023-01-03,18:02:00,Beleza/Saúde,165,4,0,PIX
2,2023-01-03,18:42:00,Tecnologia,2028.48,5,1724.37,PIX
3,2023-01-03,23:47:00,Supermercado,84.9,5,0,Crédito
1,2023-01-03,00:13:00,Eletrodomésticos,2169.98,1,138.64,PIX
7,2023-01-03,17:40:00,Livros,75.9,5,18.98,Crédito
11,2023-01-04,21:50:00,Casa/Móveis,13.9,5,3.48,PIX
19,2023-01-04,20:19:00,Tecnologia,670.71,4,2014.51,PIX
13,2023-01-04,23:25:00,Beleza/Saúde,84.9,3,5.09,Crédito
12,2023-01-04,18:44:00,Casa/Móveis,40.9,3,7.36,Boleto
14,2023-01-04,18:22:00,Casa/Móveis,93.9,3,22.54,PIX
17,2023-01-04,18:29:00,Beleza/Saúde,188.9,3,34,Crédito
16,2023-01-04,00:04:00,Livros,43.9,2,7.02,Crédito
18,2023-01-04,00:09:00,Supermercado,61,5,0,Crédito
10,2023-01-04,21:41:00,Casa/Móveis,106.9,4,0,Boleto
15,2023-01-04,19:42:00,Supermercado,85.9,4,13.74,Crédito
20,2023-01-04,20:09:00,Casa/Móveis,195.9,1,3.92,Crédito
26,2023-01-05,17:24:00,Supermercado,68.9,5,37.9,Boleto
27,2023-01-05,22:37:00,Beleza/Saúde,67.9,5,23.76,Boleto
22,2023-01-05,18:40:00,Casa/Móveis,122.9,1,12.29,Crédito
29,2023-01-05,23:59:00,Casa/Móveis,173,3,46.71,Crédito
28,2023-01-05,14:10:00,Supermercado,56.9,5,0,Crédito
25,2023-01-05,17:42:00,Casa/Móveis,24.9,4,0,Crédito
21,2023-01-05,00:58:00,Casa/Móveis,143.9,3,0,Crédito
24,2023-01-05,17:12:00,Casa/Móveis,5.9,1,0.53,Crédito
23,2023-01-05,23:49:00,Tecnologia,3075.47,4,1944.29,PIX
30,2023-01-05,21:29:00,Livros,21.9,1,1.1,PIX
36,2023-01-06,17:49:00,Eletrodomésticos,476.36,4,0,Crédito
31,2023-01-06,16:47:00,Beleza/Saúde,67.9,1,3.4,PIX
34,2023-01-06,23:48:00,Supermercado,62.9,3,5.66,Crédito
32,2023-01-06,23:31:00,Supermercado,13.9,4,4.45,PIX
35,2023-01-06,21:40:00,Supermercado,41.9,3,0,Boleto
39,2023-01-06,15:21:00,Livros,48.9,1,0,PIX
38,2023-01-06,23:36:00,Supermercado,62.9,2,5.03,PIX
33,2023-01-06,18:12:00,Casa/Móveis,164.9,3,9.89,Crédito
37,2023-01-06,00:31:00,Eletrodomésticos,1106.01,3,0,Crédito
42,2023-01-07,16:22:00,Beleza/Saúde,174.9,3,5.25,PIX
47,2023-01-07,23:46:00,Supermercado,47.9,1,1.44,PIX
46,2023-01-07,21:27:00,Casa/Móveis,135,2,0,Crédito
40,2023-01-07,17:11:00,Livros,7,2,0.7,PIX
49,2023-01-07,21:17:00,Casa/Móveis,299.9,3,0,Crédito
50,2023-01-07,20:28:00,Supermercado,45.9,3,11.02,PIX
45,2023-01-07,20:10:00,Casa/Móveis,264.9,5,79.47,Crédito
41,2023-01-07,18:47:00,Beleza/Saúde,191.9,4,53.73,PIX
48,2023-01-07,16:53:00,Supermercado,31.9,1,1.91,Crédito
43,2023-01-07,22:29:00,Supermercado,95.9,3,8.63,PIX
44,2023-01-07,23:08:00,Beleza/Saúde,131.9,5,46.17,Boleto
52,2023-01-08,15:59:00,Tecnologia,2363.76,3,919.63,Crédito
51,2023-01-08,22:54:00,Livros,9,5,2.25,Crédito
53,2023-01-08,00:08:00,Livros,48.9,2,4.89,PIX
57,2023-01-08,17:25:00,Supermercado,58.9,5,23.56,PIX
58,2023-01-08,21:29:00,Supermercado,45.9,5,11.48,PIX
55,2023-01-08,00:07:00,Eletrodomésticos,164.36,1,19.11,PIX
54,2023-01-08,23:32:00,Beleza/Saúde,220,5,55,Crédito
56,2023-01-08,18:50:00,Tecnologia,2474.06,1,625.69,PIX
64,2023-01-10,23:26:00,Supermercado,68.9,1,4.82,PIX
66,2023-01-10,23:21:00,Beleza/Saúde,155.9,1,7.8,PIX
62,2023-01-10,20:10:00,Beleza/Saúde,203.9,3,12.23,PIX
67,2023-01-10,20:31:00,Livros,6.9,3,0.83,Crédito
59,2023-01-10,16:18:00,Supermercado,99.9,4,15.98,PIX
65,2023-01-10,20:42:00,Supermercado,27.9,4,3.35,PIX
60,2023-01-10,18:15:00,Livros,13.9,1,0.83,PIX
69,2023-01-10,18:29:00,Casa/Móveis,73.9,5,25.86,PIX
63,2023-01-10,20:02:00,Beleza/Saúde,124.9,1,11.24,Boleto
70,2023-01-10,23:11:00,Casa/Móveis,168.9,2,10.13,Crédito
61,2023-01-10,17:30:00,Beleza/Saúde,103.9,3,18.7,Crédito
68,2023-01-10,19:17:00,Supermercado,97.9,4,0,PIX
76,2023-01-11,14:05:00,Beleza/Saúde,231.9,4,46.38,Boleto
77,2023-01-11,16:05:00,Beleza/Saúde,197.9,4,55.41,Crédito
78,2023-01-11,15:01:00,Casa/Móveis,160.9,5,80.45,PIX
74,2023-01-11,15:55:00,Livros,38.9,1,3.11,PIX
79,2023-01-11,00:46:00,Casa/Móveis,52.9,4,16.93,PIX
73,2023-01-11,22:39:00,Livros,33.9,3,10.17,PIX
72,2023-01-11,14:53:00,Beleza/Saúde,179.9,5,53.97,Crédito
75,2023-01-11,23:13:00,Casa/Móveis,148.9,1,8.93,Crédito
71,2023-01-11,23:23:00,Beleza/Saúde,114.9,2,2.3,PIX
88,2023-01-12,17:37:00,Beleza/Saúde,97.9,1,9.79,Crédito
82,2023-01-12,15:30:00,Casa/Móveis,102.9,5,30.87,PIX
83,2023-01-12,23:31:00,Livros,30.9,2,6.18,PIX
89,2023-01-12,18:05:00,Casa/Móveis,17.9,3,0.54,Boleto
85,2023-01-12,19:23:00,Supermercado,62.9,1,3.14,Crédito
90,2023-01-12,18:40:00,Casa/Móveis,168.9,5,0,PIX
80,2023-01-12,14:53:00,Beleza/Saúde,202.9,2,28.41,PIX
87,2023-01-12,00:43:00,Supermercado,75.9,1,0,Boleto
81,2023-01-12,17:01:00,Supermercado,68.9,4,0,PIX
84,2023-01-12,23:50:00,Supermercado,78.9,2,7.89,PIX
86,2023-01-12,00:45:00,Beleza/Saúde,164.9,1,0,Boleto
97,2023-01-13,23:53:00,Supermercado,54.9,3,4.94,PIX
93,2023-01-13,21:25:00,Tecnologia,2138.78,1,234.96,Crédito
99,2023-01-13,00:48:00,Beleza/Saúde,214.9,1,6.45,PIX
94,2023-01-13,18:24:00,Beleza/Saúde,114.9,1,3.45,Crédito
98,2023-01-13,23:21:00,Casa/Móveis,87.9,4,17.58,Crédito
